,0
Tags,2.4944968
Total Time Spent on Website,0.720103
Last Notable Activity,0.64792943
What is your current occupation,0.63412714
Last Activity,0.42823997
Lead Quality,0.36717743
Page Views Per Visit,0.2834104
Specialization,0.24130188
website_engagement_level,0.17698714
Lead Source,0.14654538
TotalVisits,0.14347701
Lead Profile,0.1295401
engagement_score,0.12801227
is_high_activity,0.10825165
Do Not Email,0.10270028
City,0.10106244
lead_quality_numeric,0.07376765
Lead Origin,0.06156213
source_historical_conv_rate,0.055280626
A free copy of Mastering The Interview,0.052225117
Country,0.03238075
is_working_professional,0.006875652
is_referred,0.0011125151
Newspaper Article,0.0
Search,0.0
Do Not Call,0.0
X Education Forums,0.0
Digital Advertisement,0.0
Through Recommendations,0.0
Newspaper,0.0
